type,name
vehicle,#defaultvehicle_mp
model,#vol_decal_cube
model,#fx_rifle_shell
model,#defaultvehicle
model,#fx_axis_createfx
model,#void
model,#viewmodel_default
model,#defaultactor
model,#defaultweapon
model,#tag_origin
model,#fx_rifle_shell_blur
character,#$default_character
xmodelalias,#$default_xmodelalias
weapon,#defaultweapon
rumble,#defaultrumble
rumble,#defaultweapon_fire
shellshock,#default
statuseffect,#default_statuseffect
xcam,#default_xcam
destructible,#defaultdestructible
streamerhint,#default
xanim,#void
xanim,#viewmodel_default_idle
xanim,#viewmodel_default_fire
xanim,#viewmodel_default_putaway
xanim,#viewmodel_default_pullout
xanim,#viewmodel_default_ads_down
xanim,#viewmodel_default_ads_up
sanim,#default_sanim
scriptbundle,#sessionmode_zm
scriptbundle,#sessionmode_wz
scriptbundle,#sessionmode_mp
scriptbundle,#defaultmedal
scriptbundle,#default
scriptbundle,#defaultscriptbundle
talent,#defaulttalent
string,#mpui/stalker
string,#hash_95c5021b448b56
string,#mpui/extclip_desc
string,#mpui/fmj_desc
string,#mpui/supply_desc
string,#mpui/dualoptic
string,#mpui/fastreload2_desc
string,#zmui/fmj_desc
string,#hash_38a2cf22c48d6c3
string,#hash_40c47b72c083914
string,#hash_43b319457bc818e
string,#mpui/camo_flectarn
string,#weapon/defaultweapon
string,#mpui/extclip2
string,#hash_5be026b2781b8c9
string,#hash_5d7eb1442a4f213
string,#hash_6a9c5353f6e0729
string,#mpui/quickdraw2_desc
string,#mpui/stalker2_desc
string,#mpui/extclip
string,#hash_870732dcf823d00
string,#hash_9340177dbe3be9f
string,#hash_963e4c4a1430d25
string,#mpui/fastreload2
string,#hash_c0c2aecab7c9830
string,#mpui/damage2_desc
string,#hash_d8622d38b0078a8
string,#hash_e2971bbfafcfe66
string,#mpui/fastlockon_desc
string,#hash_ee567911dd1ce83
string,#hash_f3011ec9092dca2
string,#mpui/vzoom
string,#hash_11416e3dffba8d50
string,#mpui/mk
string,#hash_115f614ac4e9cc5a
string,#mpui/ir
string,#mpui/is
string,#mpui/gl
string,#mpui/dw
string,#mpui/camo_dante
string,#mpui/sf
string,#mpui/rf
string,#hash_11cfa6d5f521dede
string,#mpui/no_attachment
string,#mpui/uber
string,#mpui/barrelchoke_desc
string,#hash_13f64b913a8510ce
string,#menu/camo_active_treasure
string,#mpui/camo_redhex
string,#hash_15cf0d46af70291b
string,#mpui/null
string,#mpui/grip
string,#hash_166b7f0f8f0d22fc
string,#mpui/suppressed_desc
string,#hash_17783814d047454c
string,#hash_17c0eb37199a2d92
string,#mpui/no_attachment_desc
string,#hash_18b7797e532aa1bb
string,#mpui/uber_desc
string,#mpui/camo_active_rapid_kills
string,#hash_1960a6223dd21d1a
string,#mpui/barrelchoke
string,#hash_1c07c87a45375aaf
string,#mpui/camo_integer
string,#zmui/mms_desc
string,#mpui/steadyaim2
string,#hash_208eb7d41301aac0
string,#hash_21868d247829d827
string,#hash_226442eca8affe87
string,#hash_22ec60cd78b8277f
string,#hash_23184906a849ac54
string,#mpui/camo_jungle
string,#mpui/dualoptic_desc
string,#mpui/camo_huntsman
string,#hash_246c7d9118b22299
string,#hash_24a3e0f402bfd000
string,#hash_24c9561478db5594
string,#hash_255c9cc584359d0e
string,#hash_25811ef8abc80b1f
string,#mpui/elo_desc
string,#hash_25d3f454e864bb4a
string,#hash_25edfec743a2fb28
string,#hash_25fc6c872fa95f5e
string,#hash_2628f8facd7d3398
string,#mpui/pistolscope
string,#hash_26adc6b84f143b29
string,#mpui/fmj2_desc
string,#hash_28f8d698fe4d79d2
string,#zmui/high_caliber_2_desc
string,#mpui/holdbreath_desc
string,#mpui/camo_active_kill_counter
string,#hash_2a634db8501d93aa
string,#hash_2aa6fa1848766679
